Format Version,1.23,Take Name,LineTest 09022023_001,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-02-09 11.44.19.396 A.M.,Capture Start Frame,13175340,Total Frames in Take,1997,Total Exported Frames,1997,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,outer,outer,outer,outer,outer,outer,inner,inner,inner,inner,inner,inner,Robot,Robot,Robot,Robot,Robot,Robot
,ID,"4E59680EA26511ED1061CE48FBDC5DB3","4E59680EA26511ED1061CE48FBDC5DB3","4E59680EA26511ED1061CE48FBDC5DB3","4E59680EA26511ED1061CE48FBDC5DB3","4E59680EA26511ED1061CE48FBDC5DB3","4E59680EA26511ED1061CE48FBDC5DB3","66E8B991A26511ED1061CE48FBDC5DB3","66E8B991A26511ED1061CE48FBDC5DB3","66E8B991A26511ED1061CE48FBDC5DB3","66E8B991A26511ED1061CE48FBDC5DB3","66E8B991A26511ED1061CE48FBDC5DB3","66E8B991A26511ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3"
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,,,,,,,,,,,,,0.298887,-3.660388,-0.449314,268.169373,97.981224,213.811890
1,0.008333,,,,,,,,,,,,,0.317634,-3.667885,-0.433921,268.143555,97.948593,213.831268
2,0.016667,,,,,,,,,,,,,0.320176,-3.658489,-0.440104,268.154907,97.953224,213.824127
3,0.025000,,,,,,,,,,,,,0.241310,-3.638767,-0.403917,268.140778,97.938339,213.828934
4,0.033333,,,,,,,,,,,,,0.297584,-3.659806,-0.447294,268.167023,97.993263,213.810165
5,0.041667,,,,,,,,,,,,,0.322887,-3.657769,-0.433773,268.152649,97.959312,213.827042
6,0.050000,,,,,,,,,,,,,0.319769,-3.658112,-0.433093,268.154907,97.952034,213.824234
7,0.058333,,,,,,,,,,,,,0.319299,-3.666022,-0.432434,268.146271,97.952309,213.827545
8,0.066667,,,,,,,,,,,,,0.325613,-3.657209,-0.432074,268.158325,97.949509,213.821564
9,0.075000,,,,,,,,,,,,,0.295733,-3.662859,-0.446014,268.171082,97.989502,213.811478
10,0.083333,,,,,,,,,,,,,0.340319,-3.674335,-0.456810,268.166718,97.989944,213.839142
11,0.091667,,,,,,,,,,,,,0.313984,-3.663440,-0.434716,268.149261,97.952232,213.824295
12,0.100000,,,,,,,,,,,,,0.319014,-3.663345,-0.433925,268.156219,97.951378,213.822662
13,0.108333,,,,,,,,,,,,,0.323971,-3.656442,-0.436766,268.153748,97.951950,213.821213
14,0.116667,,,,,,,,,,,,,0.296010,-3.662262,-0.446258,268.164520,97.979790,213.810928
