Format Version,1.23,Take Name,Take 2023-03-16 11.43.16 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-03-16 11.43.17.152 A.M.,Capture Start Frame,6968541,Total Frames in Take,956,Total Exported Frames,956,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,outer,outer,outer,outer,outer,outer,inner,inner,inner,inner,inner,inner,Robot,Robot,Robot,Robot,Robot,Robot
,ID,"4E59680EA26511ED1061CE48FBDC5DB3","4E59680EA26511ED1061CE48FBDC5DB3","4E59680EA26511ED1061CE48FBDC5DB3","4E59680EA26511ED1061CE48FBDC5DB3","4E59680EA26511ED1061CE48FBDC5DB3","4E59680EA26511ED1061CE48FBDC5DB3","66E8B991A26511ED1061CE48FBDC5DB3","66E8B991A26511ED1061CE48FBDC5DB3","66E8B991A26511ED1061CE48FBDC5DB3","66E8B991A26511ED1061CE48FBDC5DB3","66E8B991A26511ED1061CE48FBDC5DB3","66E8B991A26511ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3"
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,,,,,,,,,,,,,0.330341,0.154575,-0.035298,-23.352634,103.607651,-30.627607
1,0.008333,,,,,,,,,,,,,0.326731,0.154062,-0.036929,-23.350880,103.598473,-30.633982
2,0.016667,,,,,,,,,,,,,0.336083,0.154572,-0.036827,-23.358912,103.599487,-30.631468
3,0.025000,,,,,,,,,,,,,0.314975,0.159987,-0.023309,-23.348330,103.604317,-30.632887
4,0.033333,,,,,,,,,,,,,0.318045,0.163643,-0.021242,-23.341526,103.596230,-30.624748
5,0.041667,,,,,,,,,,,,,0.313107,0.159841,-0.029134,-23.336515,103.606384,-30.633984
6,0.050000,,,,,,,,,,,,,0.311369,0.165179,-0.029517,-23.321810,103.619873,-30.634756
7,0.058333,,,,,,,,,,,,,0.309705,0.167080,-0.031554,-23.315351,103.639877,-30.651369
8,0.066667,,,,,,,,,,,,,0.330799,0.154802,-0.054462,-23.317616,103.619141,-30.644390
9,0.075000,,,,,,,,,,,,,0.324232,0.154671,-0.051551,-23.317566,103.615242,-30.641777
10,0.083333,,,,,,,,,,,,,0.302497,0.169287,-0.027567,-23.302725,103.615227,-30.635548
11,0.091667,,,,,,,,,,,,,0.317328,0.162745,-0.049875,-23.305017,103.588097,-30.632746
12,0.100000,,,,,,,,,,,,,0.298200,0.167060,-0.048957,-23.284349,103.613586,-30.642639
13,0.108333,,,,,,,,,,,,,0.322891,0.157974,-0.082702,-23.276430,103.613487,-30.647400
