Format Version,1.23,Take Name,Take 2023-03-21 11.52.33 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-03-21 11.52.33.914 A.M.,Capture Start Frame,8546461,Total Frames in Take,1907,Total Exported Frames,1907,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Robot,Robot,Robot,Robot,Robot,Robot
,ID,"9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3"
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
0,0.000000,-179.967285,2.325558,-178.947906,-2194.249512,125.894798,13.998279
1,0.008333,-179.959503,2.326722,-178.942841,-2194.251221,125.883713,13.994806
2,0.016667,-179.952393,2.320069,-178.935532,-2194.272461,125.889618,13.997169
3,0.025000,-179.969543,2.325098,-178.947525,-2194.254395,125.878540,13.998012
4,0.033333,-179.958221,2.318017,-178.940048,-2194.271729,125.897064,13.996513
5,0.041667,-179.963211,2.323895,-178.944794,-2194.250488,125.889374,13.990053
6,0.050000,-179.960876,2.326969,-178.947540,-2194.254395,125.882446,13.997581
7,0.058333,-179.953857,2.314317,-178.931717,-2194.282471,125.895874,13.999161
8,0.066667,-179.978745,2.329913,-178.957413,-2194.278320,125.861961,13.970605
9,0.075000,-179.962448,2.330481,-178.952637,-2194.255859,125.878349,13.998115
10,0.083333,-179.959518,2.329589,-178.945328,-2194.248535,125.885147,13.985571
11,0.091667,-179.954468,2.317014,-178.932022,-2194.268311,125.904930,13.995870
12,0.100000,-179.968445,2.322920,-178.944244,-2194.251465,125.889214,14.001080
13,0.108333,-179.956467,2.313839,-178.932434,-2194.279297,125.884682,13.996184
14,0.116667,-179.957062,2.316452,-178.936356,-2194.279541,125.899300,14.003258
15,0.125000,-179.960510,2.325673,-178.943665,-2194.260254,125.879837,13.992949
16,0.133333,-179.962570,2.327316,-178.944412,-2194.249268,125.895798,13.991763
17,0.141667,-179.965164,2.327478,-178.947693,-2194.247803,125.894440,13.993861
18,0.150000,-179.959579,2.326880,-178.950729,-2194.249512,125.889198,13.995011
19,0.158333,-179.951889,2.315594,-178.937744,-2194.286377,125.895576,14.003380
20,0.166667,-179.961411,2.321753,-178.942810,-2194.261963,125.881180,14.004619
21,0.175000,-179.962418,2.326633,-178.944382,-2194.255859,125.888306,13.997139
22,0.183333,-179.968048,2.328262,-178.949753,-2194.250244,125.888123,13.992604
23,0.191667,-179.965698,2.328063,-178.948456,-2194.251953,125.890266,13.995157
24,0.200000,-179.956711,2.317116,-178.934296,-2194.274414,125.901146,13.997129
25,0.208333,-179.955017,2.318436,-178.935318,-2194.276123,125.893814,13.998364
26,0.216667,-179.948868,2.311225,-178.928787,-2194.276367,125.896500,14.003415
27,0.225000,-179.960266,2.327259,-178.946655,-2194.259521,125.886765,14.003821
28,0.233333,-179.959396,2.324668,-178.945526,-2194.255859,125.890030,13.992577
29,0.241667,-179.967499,2.325756,-178.944550,-2194.248291,125.890968,13.996829
30,0.250000,-179.960495,2.331407,-178.950699,-2194.252686,125.892639,14.003920
31,0.258333,-179.967712,2.326637,-178.947021,-2194.260010,125.878510,14.004262
32,0.266667,-179.959183,2.314904,-178.941406,-2194.281982,125.890808,14.008554
33,0.275000,-179.960617,2.327499,-178.941101,-2194.255371,125.882462,13.999862
34,0.283333,-179.967728,2.331824,-178.946259,-2194.254639,125.892532,13.991571
35,0.291667,-179.966537,2.327391,-178.942627,-2194.249512,125.898552,13.989659
36,0.300000,-179.954559,2.317087,-178.935486,-2194.278076,125.897247,13.997003
37,0.308333,-179.967255,2.325142,-178.942261,-2194.257080,125.877365,14.003334
38,0.316667,-179.951294,2.319577,-178.933563,-2194.283936,125.886467,14.001657
39,0.325000,-179.957016,2.310355,-178.932922,-2194.276367,125.899391,13.999825
40,0.333333,-179.967850,2.324721,-178.948135,-2194.249512,125.885887,13.986447
