Format Version,1.23,Take Name,Squaretest 2023-02-09 10.56.53 AM_003,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-02-09 11.15.00.872 A.M.,Capture Start Frame,12964338,Total Frames in Take,4160,Total Exported Frames,4160,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Robot,Robot,Robot,Robot,Robot,Robot
,ID,"9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3"
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
0,0.000000,-0.057767,-0.004040,-0.070964,270.333466,98.315987,239.607346
1,0.008333,0.006938,-0.031953,-0.006520,270.251038,98.192703,239.663971
2,0.016667,0.009115,-0.064437,-0.023779,270.222595,98.203484,239.638306
3,0.025000,0.010208,0.003038,-0.001114,270.285858,98.202560,239.632782
4,0.033333,0.063147,0.007267,-0.054339,270.303375,98.155602,239.607315
5,0.041667,0.009735,-0.063399,-0.023326,270.219727,98.201157,239.636551
6,0.050000,0.004894,0.006299,0.000179,270.291138,98.198151,239.636078
7,0.058333,-0.079579,0.035638,-0.071903,270.389130,98.337029,239.634445
8,0.066667,0.012156,0.006930,-0.002066,270.289642,98.202591,239.634369
9,0.075000,0.006226,-0.033447,-0.008443,270.251282,98.208633,239.662827
10,0.083333,0.008158,-0.033320,-0.007449,270.253723,98.198753,239.663422
11,0.091667,0.004672,-0.066082,-0.017544,270.221680,98.199440,239.639725
12,0.100000,0.006452,0.006417,-0.003277,270.290771,98.203850,239.632355
13,0.108333,0.116383,0.054375,-0.084216,270.332733,98.087349,239.603027
14,0.116667,0.009542,-0.063002,-0.024519,270.221893,98.198494,239.635101
15,0.125000,0.010097,-0.030682,-0.004665,270.253693,98.196480,239.664719
16,0.133333,0.011326,-0.028940,-0.006968,270.253967,98.194519,239.662094
17,0.141667,0.009812,-0.035951,-0.007828,270.251343,98.197975,239.656860
18,0.150000,0.003003,0.002602,-0.057360,270.318939,98.231644,239.550461
19,0.158333,0.012395,-0.060201,-0.018288,270.226563,98.199051,239.641479
20,0.166667,-0.076671,-0.005582,-0.077327,270.353271,98.335625,239.660950
21,0.175000,0.008131,-0.034471,-0.007858,270.253998,98.201309,239.667633
22,0.183333,-0.029233,0.005455,-0.047238,270.324310,98.277260,239.624191
23,0.191667,-0.034657,-0.033294,-0.050931,270.283295,98.267166,239.650894
24,0.200000,0.006636,0.004813,-0.003520,270.294739,98.196190,239.640228
25,0.208333,-0.000308,0.001836,-0.003833,270.294861,98.202026,239.638672
26,0.216667,0.006095,0.003453,-0.006562,270.293396,98.202866,239.635651
27,0.225000,0.007461,0.002357,-0.000242,270.293427,98.203888,239.632980
28,0.233333,0.007381,-0.035314,-0.008386,270.251831,98.202652,239.659363
29,0.241667,-0.057251,-0.043096,-0.083597,270.293732,98.316078,239.632690
30,0.250000,-0.053471,-0.001721,-0.003288,270.298981,98.283470,239.582886
31,0.258333,0.011154,-0.024632,-0.018207,270.257050,98.208450,239.612595
32,0.266667,0.004627,-0.037825,-0.009426,270.250580,98.197990,239.666168
33,0.275000,0.014566,0.002908,-0.003473,270.293182,98.200432,239.637833
34,0.283333,0.005665,-0.032663,-0.009561,270.249695,98.199013,239.663651
35,0.291667,0.004159,-0.034896,-0.009249,270.250824,98.200615,239.662094
36,0.300000,0.006877,-0.033122,-0.007273,270.251221,98.198753,239.664413
37,0.308333,0.004581,-0.027720,-0.015348,270.259399,98.208611,239.612625
38,0.316667,0.135242,-0.042967,-0.157732,270.358337,98.430054,239.639542
39,0.325000,0.001724,0.001973,-0.006809,270.286530,98.209061,239.639816
40,0.333333,-0.057702,-0.006450,-0.069563,270.328735,98.323784,239.611969
41,0.341667,0.005876,0.003541,-0.002243,270.295776,98.203842,239.638733
42,0.350000,0.002430,0.001489,-0.002991,270.290375,98.208939,239.643463
43,0.358333,0.009877,-0.067511,-0.022985,270.223297,98.201820,239.642670
