Format Version,1.23,Take Name,Take 2023-03-16 12.01.21 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-03-16 12.01.22.234 P.M.,Capture Start Frame,7098907,Total Frames in Take,2899,Total Exported Frames,2899,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,outer,outer,outer,outer,outer,outer,inner,inner,inner,inner,inner,inner,Robot,Robot,Robot,Robot,Robot,Robot
,ID,"4E59680EA26511ED1061CE48FBDC5DB3","4E59680EA26511ED1061CE48FBDC5DB3","4E59680EA26511ED1061CE48FBDC5DB3","4E59680EA26511ED1061CE48FBDC5DB3","4E59680EA26511ED1061CE48FBDC5DB3","4E59680EA26511ED1061CE48FBDC5DB3","66E8B991A26511ED1061CE48FBDC5DB3","66E8B991A26511ED1061CE48FBDC5DB3","66E8B991A26511ED1061CE48FBDC5DB3","66E8B991A26511ED1061CE48FBDC5DB3","66E8B991A26511ED1061CE48FBDC5DB3","66E8B991A26511ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3"
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,,,,,,,,,,,,,1.207586,0.664317,-0.413527,7.515354,102.150078,-31.827633
1,0.008333,,,,,,,,,,,,,1.233060,0.660967,-0.423926,7.573140,102.103607,-31.773888
2,0.016667,,,,,,,,,,,,,1.227168,0.662707,-0.428091,7.589390,102.126663,-31.817190
3,0.025000,,,,,,,,,,,,,1.226045,0.661061,-0.432753,7.601648,102.130150,-31.824898
4,0.033333,,,,,,,,,,,,,1.221208,0.659928,-0.453179,7.622113,102.148705,-31.831066
5,0.041667,,,,,,,,,,,,,1.241666,0.660407,-0.444616,7.621110,102.109581,-31.800692
6,0.050000,,,,,,,,,,,,,1.240043,0.652383,-0.455929,7.623780,102.107254,-31.780966
7,0.058333,,,,,,,,,,,,,0.971015,0.658665,-0.426175,7.639501,102.283913,-31.998787
8,0.066667,,,,,,,,,,,,,1.240598,0.660184,-0.446379,7.625935,102.090767,-31.773594
9,0.075000,,,,,,,,,,,,,0.964048,0.664201,-0.419365,7.634311,102.272018,-31.992014
10,0.083333,,,,,,,,,,,,,1.241953,0.656877,-0.448874,7.615801,102.118652,-31.812757
11,0.091667,,,,,,,,,,,,,1.239359,0.662185,-0.449946,7.629054,102.120346,-31.808798
12,0.100000,,,,,,,,,,,,,1.217753,0.658428,-0.461055,7.618540,102.136108,-31.827911
13,0.108333,,,,,,,,,,,,,1.247284,0.660552,-0.463359,7.635672,102.106705,-31.800106
