Format Version,1.23,Take Name,Take 2023-03-16 11.51.58 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-03-16 11.51.58.483 A.M.,Capture Start Frame,7031220,Total Frames in Take,2479,Total Exported Frames,2479,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,outer,outer,outer,outer,outer,outer,inner,inner,inner,inner,inner,inner,Robot,Robot,Robot,Robot,Robot,Robot
,ID,"4E59680EA26511ED1061CE48FBDC5DB3","4E59680EA26511ED1061CE48FBDC5DB3","4E59680EA26511ED1061CE48FBDC5DB3","4E59680EA26511ED1061CE48FBDC5DB3","4E59680EA26511ED1061CE48FBDC5DB3","4E59680EA26511ED1061CE48FBDC5DB3","66E8B991A26511ED1061CE48FBDC5DB3","66E8B991A26511ED1061CE48FBDC5DB3","66E8B991A26511ED1061CE48FBDC5DB3","66E8B991A26511ED1061CE48FBDC5DB3","66E8B991A26511ED1061CE48FBDC5DB3","66E8B991A26511ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3"
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,,,,,,,,,,,,,1.311900,-0.287238,0.316585,-19.889860,101.693069,-20.792580
1,0.008333,,,,,,,,,,,,,1.312580,-0.286391,0.314285,-19.891550,101.682381,-20.784943
2,0.016667,,,,,,,,,,,,,1.302026,-0.283408,0.327191,-19.887436,101.680450,-20.783756
3,0.025000,,,,,,,,,,,,,1.327335,-0.280396,0.333243,-19.897976,101.667114,-20.761564
4,0.033333,,,,,,,,,,,,,1.323067,-0.274374,0.343347,-19.885447,101.674500,-20.782642
5,0.041667,,,,,,,,,,,,,1.316579,-0.285949,0.323990,-19.896475,101.672348,-20.783230
6,0.050000,,,,,,,,,,,,,1.302449,-0.280721,0.339600,-19.895391,101.682159,-20.793116
7,0.058333,,,,,,,,,,,,,1.302468,-0.288415,0.328423,-19.894274,101.686508,-20.790382
8,0.066667,,,,,,,,,,,,,1.305148,-0.281910,0.334117,-19.896940,101.691406,-20.792278
9,0.075000,,,,,,,,,,,,,1.311107,-0.284547,0.332263,-19.886778,101.673256,-20.778009
10,0.083333,,,,,,,,,,,,,1.295481,-0.270508,0.334687,-19.882170,101.692711,-20.816278
11,0.091667,,,,,,,,,,,,,1.312172,-0.285368,0.336282,-19.897449,101.659683,-20.771059
12,0.100000,,,,,,,,,,,,,1.346257,-0.233943,0.408316,-19.907759,101.624847,-20.712521
13,0.108333,,,,,,,,,,,,,1.354888,-0.231594,0.412635,-19.904926,101.612488,-20.701889
