Format Version,1.23,Take Name,Take 2023-03-21 12.08.59 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-03-21 12.09.00.620 P.M.,Capture Start Frame,8664872,Total Frames in Take,3831,Total Exported Frames,3831,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Robot,Robot,Robot,Robot,Robot,Robot
,ID,"9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3"
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
0,0.000000,-179.766571,1.142446,179.913147,-49.884640,101.820793,-20.898575
1,0.008333,-179.751266,1.137965,179.924683,-49.920570,101.819603,-20.926508
2,0.016667,-179.761200,1.144316,179.917343,-49.885025,101.813393,-20.897818
3,0.025000,-179.767776,1.141659,179.911560,-49.883530,101.816864,-20.895863
4,0.033333,-179.762665,1.143207,179.911469,-49.884201,101.818634,-20.898262
5,0.041667,-179.764984,1.143314,179.909805,-49.884312,101.821770,-20.902420
6,0.050000,-179.751038,1.139725,179.922638,-49.917141,101.816376,-20.929159
7,0.058333,-179.761993,1.143283,179.911713,-49.884216,101.816360,-20.899029
8,0.066667,-179.763000,1.145225,179.915344,-49.883045,101.813156,-20.893339
9,0.075000,-179.765610,1.143150,179.912842,-49.882370,101.817993,-20.899317
10,0.083333,-179.766571,1.141506,179.912369,-49.880772,101.820259,-20.899076
11,0.091667,-179.766693,1.143281,179.910339,-49.883434,101.820412,-20.901184
12,0.100000,-179.900864,1.241386,-179.951492,-49.836338,101.724960,-20.821051
13,0.108333,-179.763657,1.138145,179.913330,-49.883194,101.817780,-20.900003
14,0.116667,-179.769958,1.141493,179.917282,-49.884090,101.817978,-20.894886
15,0.125000,-179.863220,1.215593,-179.980698,-49.825737,101.671425,-20.787281
16,0.133333,-179.861816,1.215963,-179.976715,-49.821083,101.669754,-20.788778
17,0.141667,-179.752243,1.136612,179.921844,-49.914845,101.821274,-20.925789
18,0.150000,-179.862122,1.217028,-179.974503,-49.822384,101.672844,-20.789623
19,0.158333,-179.903854,1.240683,-179.947708,-49.844128,101.728912,-20.818506
20,0.166667,-179.750031,1.140566,179.925766,-49.915161,101.814781,-20.922895
21,0.175000,-179.765137,1.146012,179.915070,-49.883255,101.815651,-20.895857
22,0.183333,-179.766495,1.143368,179.916275,-49.883942,101.814117,-20.896734
23,0.191667,-179.751038,1.137035,179.924973,-49.914913,101.815712,-20.933022
24,0.200000,-179.767899,1.142637,179.912582,-49.882000,101.819695,-20.901814
25,0.208333,-179.863266,1.219054,-179.978455,-49.827839,101.674812,-20.790905
26,0.216667,-179.766098,1.145580,179.910965,-49.882511,101.817764,-20.902594
27,0.225000,-179.766342,1.144070,179.909180,-49.882847,101.813927,-20.899700
28,0.233333,-179.763947,1.140182,179.913651,-49.882439,101.816154,-20.896524
29,0.241667,-179.762299,1.145283,179.912842,-49.881756,101.815155,-20.902212
30,0.250000,-179.753937,1.140732,179.923355,-49.917881,101.821228,-20.927563
31,0.258333,-179.769424,1.144300,179.913879,-49.884041,101.819420,-20.903765
32,0.266667,-179.794571,1.165658,179.949799,-49.932919,101.872185,-20.961805
33,0.275000,-179.766434,1.143057,179.909821,-49.885086,101.813484,-20.898302
34,0.283333,-179.763870,1.144708,179.911606,-49.884037,101.816353,-20.896559
35,0.291667,-179.767426,1.141304,179.915405,-49.881310,101.818306,-20.900887
36,0.300000,-179.766479,1.143403,179.916550,-49.884247,101.815491,-20.898031
37,0.308333,-179.765579,1.144613,179.912308,-49.886162,101.817780,-20.896893
38,0.316667,-179.749496,1.136986,179.925995,-49.920063,101.817223,-20.928713
39,0.325000,-179.767029,1.144978,179.913147,-49.884388,101.817345,-20.897799
40,0.333333,-179.765945,1.147558,179.913193,-49.883495,101.816307,-20.898207
41,0.341667,-179.764313,1.145478,179.916428,-49.886364,101.819778,-20.898479
